country,@timestamp per day,country1,all,app,app占比,红色为app的流量统计；黄色为修改后的数据,,,,,,
IND,12-03-19,IND,1434594,1255186,0.874941621113709,,,,,,,
IND,12-04-19,IND,1945866,1675971,0.861298260003515,,,,,,,
IND,12-05-19,IND,2107268,1821800,0.864531706455942,可以看到在周末~周一（12月7日-12月9日）处于调整期app占比处于上升过程中。之后稳定了下来。对比修改前后app的占比确实有较大提升，IND、IDN、BRA等地区app占比均在95%以上，但是USA、SAU等地区虽然提升不少但是占比并没有达到预期的90%以上。,,,,,,
IND,12-06-19,IND,2387413,2125630,0.89034867448573,,,,,,,
IND,12-07-19,IND,2428254,2133940,0.878796040282442,,,,,,,
IND,12-08-19,IND,2409839,2101424,0.872018421147637,,,,,,,
IND,12-09-19,IND,2440076,2259674,0.926067,,,,,,,
IND,12-10-19,IND,2429277,2347687,0.966414,,,,,,,
IND,12-11-19,IND,1079027,1025829,0.950698,,,,,,,
BRA,12-03-19,BRA,750006,444628,0.592832590672608,,,,,,,
BRA,12-04-19,BRA,1303928,944023,0.723983992981208,,,,,,,
BRA,12-05-19,BRA,1275447,933890,0.732206042273807,,,,,,,
BRA,12-06-19,BRA,1207988,902133,0.746806259664831,,,,,,,
BRA,12-07-19,BRA,1196900,903864,0.755170858049962,,,,,,,
BRA,12-08-19,BRA,1217554,935215,0.7681096690578,,,,,,,
BRA,12-09-19,BRA,1300367,1110054,0.853647,,,,,,,
BRA,12-10-19,BRA,1200606,1155686,0.962586,,,,,,,
BRA,12-11-19,BRA,732822,707873,0.965955,,,,,,,
USA,12-03-19,USA,611099,364779,0.596922920836067,,,,,,,
USA,12-04-19,USA,947170,578337,0.610594719005036,,,,,,,
USA,12-05-19,USA,881591,617699,0.700663913311275,,,,,,,
USA,12-06-19,USA,846085,638644,0.754822506012989,,,,,,,
USA,12-07-19,USA,848759,655554,0.772367656778897,,,,,,,
USA,12-08-19,USA,844450,649538,0.769184676416602,,,,,,,
USA,12-09-19,USA,844954,672453,0.795846,,,,,,,
USA,12-10-19,USA,846001,672350,0.794739,,,,,,,
USA,12-11-19,USA,480533,362754,0.754899,,,,,,,
SAU,12-03-19,SAU,468605,281269,0.600226203305556,,,,,,,
SAU,12-04-19,SAU,758622,440282,0.580370724814203,,,,,,,
SAU,12-05-19,SAU,800834,397295,0.496101564119406,,,,,,,
SAU,12-06-19,SAU,794631,378213,0.475960540175251,,,,,,,
SAU,12-07-19,SAU,788226,382689,0.485506694780431,,,,,,,
SAU,12-08-19,SAU,813549,380441,0.467631328905819,,,,,,,
SAU,12-09-19,SAU,838606,516489,0.61589,,,,,,,
SAU,12-10-19,SAU,820950,642293,0.782378,,,,,,,
SAU,12-11-19,SAU,451479,363425,0.804965,,,,,,,
CAN,12-03-19,CAN,247860,148769,0.600213830388122,,,,,,,
CAN,12-04-19,CAN,413343,276269,0.668377110535318,,,,,,,
CAN,12-05-19,CAN,403930,270918,0.670705320228753,,,,,,,
CAN,12-06-19,CAN,412304,277660,0.673435135240017,,,,,,,
CAN,12-07-19,CAN,411977,275596,0.668959674933309,,,,,,,
CAN,12-08-19,CAN,443947,300722,0.677382660542813,,,,,,,
CAN,12-09-19,CAN,405276,314811,0.776782,,,,,,,
CAN,12-10-19,CAN,347053,334564,0.964014,,,,,,,
CAN,12-11-19,CAN,242074,235447,0.972624,,,,,,,
IDN,12-03-19,IDN,224179,169906,0.757903282644672,,,,,,,
IDN,12-04-19,IDN,390162,268712,0.68871904490955,,,,,,,
IDN,12-05-19,IDN,396605,270808,0.682815395670756,,,,,,,
IDN,12-06-19,IDN,343873,238415,0.693322825578048,,,,,,,
IDN,12-07-19,IDN,437861,315771,0.721167219734117,,,,,,,
IDN,12-08-19,IDN,483659,353991,0.731902021879051,,,,,,,
IDN,12-09-19,IDN,329041,238791,0.725718,,,,,,,
IDN,12-10-19,IDN,318436,302094,0.94868,,,,,,,
IDN,12-11-19,IDN,262984,248680,0.945609,,,,,,,
MEX,12-03-19,MEX,242876,99287,0.408797081638367,,,,,,,
MEX,12-04-19,MEX,320496,177941,0.5552050571614,,,,,,,
MEX,12-05-19,MEX,324852,186154,0.573042493196902,,,,,,,
MEX,12-06-19,MEX,324737,223045,0.686848126329922,,,,,,,
MEX,12-07-19,MEX,318951,227409,0.712990396643999,,,,,,,
MEX,12-08-19,MEX,326934,211133,0.645797011017514,,,,,,,
MEX,12-09-19,MEX,267703,269552,1.006907,,,,,,,
MEX,12-10-19,MEX,222470,299920,1.348137,,,,,,,
MEX,12-11-19,MEX,118937,158099,1.329267,,,,,,,
EGY,12-03-19,EGY,133339,113541,0.85152131034431,,,,,,,
EGY,12-04-19,EGY,236994,166475,0.702443943728533,,,,,,,
EGY,12-05-19,EGY,248875,177021,0.711284781516826,,,,,,,
EGY,12-06-19,EGY,293989,173066,0.588681889458449,,,,,,,
EGY,12-07-19,EGY,301581,170165,0.564243105500678,,,,,,,
EGY,12-08-19,EGY,274918,179945,0.654540626659586,,,,,,,
EGY,12-09-19,EGY,318882,197802,0.620298,,,,,,,
EGY,12-10-19,EGY,320382,213203,0.665465,,,,,,,
EGY,12-11-19,EGY,168207,115132,0.684466,,,,,,,
ARE,12-03-19,ARE,181556,128590,0.708266320033488,,,,,,,
ARE,12-04-19,ARE,255300,178960,0.700979240109675,,,,,,,
ARE,12-05-19,ARE,245659,171303,0.697320269153583,,,,,,,
ARE,12-06-19,ARE,254497,188468,0.740550969166631,,,,,,,
ARE,12-07-19,ARE,226345,182227,0.805085157613378,,,,,,,
ARE,12-08-19,ARE,220247,177818,0.807357194422626,,,,,,,
ARE,12-09-19,ARE,209512,177328,0.846386,,,,,,,
ARE,12-10-19,ARE,197225,175209,0.888371,,,,,,,
ARE,12-11-19,ARE,115848,102940,0.888578,,,,,,,
ISR,12-03-19,ISR,104817,75956,0.724653443620787,,,,,,,
ISR,12-04-19,ISR,167886,123458,0.735368047365474,,,,,,,
ISR,12-05-19,ISR,178962,132348,0.73953129714688,,,,,,,
ISR,12-06-19,ISR,200831,148269,0.738277457165477,,,,,,,
ISR,12-07-19,ISR,177522,136277,0.767662599565124,,,,,,,
ISR,12-08-19,ISR,210937,160900,0.762786993272873,,,,,,,
ISR,12-09-19,ISR,196783,174483,0.886677,,,,,,,
ISR,12-10-19,ISR,186775,180277,0.965209,,,,,,,
ISR,12-11-19,ISR,86774,84073,0.968873,,,,,,,
JPN,12-03-19,JPN,173711,57581,0.331475842059513,,,,,,,
JPN,12-04-19,JPN,264032,118669,0.449449309174645,,,,,,,
JPN,12-05-19,JPN,228299,124199,0.544019027678614,,,,,,,
JPN,12-06-19,JPN,165840,121483,0.732531355523396,,,,,,,
JPN,12-07-19,JPN,144084,117951,0.81862663446323,,,,,,,
JPN,12-08-19,JPN,155395,118381,0.761807007947489,,,,,,,
JPN,12-09-19,JPN,103008,138156,1.341216,,,,,,,
JPN,12-10-19,JPN,109223,160606,1.470441,,,,,,,
JPN,12-11-19,JPN,84953,122315,1.439796,,,,,,,
COL,12-03-19,COL,103032,66964,0.649934001087041,,,,,,,
COL,12-04-19,COL,162574,93410,0.574569119293368,,,,,,,
COL,12-05-19,COL,164213,85326,0.519605634145896,,,,,,,
COL,12-06-19,COL,159002,67570,0.424963208009962,,,,,,,
COL,12-07-19,COL,153068,84235,0.550310972900933,,,,,,,
COL,12-08-19,COL,152024,89217,0.586861285060254,,,,,,,
COL,12-09-19,COL,161403,70576,0.437266,,,,,,,
COL,12-10-19,COL,167353,97416,0.582099,,,,,,,
COL,12-11-19,COL,126970,76079,0.599189,,,,,,,
ARG,12-03-19,ARG,146214,57324,0.392055480323362,,,,,,,
ARG,12-04-19,ARG,173878,85831,0.493627715984771,,,,,,,
ARG,12-05-19,ARG,110567,60941,0.551168070038981,,,,,,,
ARG,12-06-19,ARG,107828,62306,0.577827651444894,,,,,,,
ARG,12-07-19,ARG,113206,64417,0.569024610003003,,,,,,,
ARG,12-08-19,ARG,129900,74803,0.5758506543495,,,,,,,
ARG,12-09-19,ARG,108347,89073,0.822109,,,,,,,
ARG,12-10-19,ARG,95315,91040,0.955149,,,,,,,
ARG,12-11-19,ARG,49250,47159,0.957543,,,,,,,
KOR,12-03-19,KOR,62627,36492,0.582687978028646,,,,,,,
KOR,12-04-19,KOR,84432,46335,0.548784820920978,,,,,,,
KOR,12-05-19,KOR,85109,47647,0.559835035072672,,,,,,,
KOR,12-06-19,KOR,58294,33202,0.569561189830857,,,,,,,
KOR,12-07-19,KOR,62615,38835,0.620218797412761,,,,,,,
KOR,12-08-19,KOR,66311,39860,0.601106905339989,,,,,,,
KOR,12-09-19,KOR,49670,37707,0.75915,,,,,,,
KOR,12-10-19,KOR,55632,51082,0.918213,,,,,,,
KOR,12-11-19,KOR,48661,45063,0.92606,,,,,,,
AUS,12-03-19,AUS,47875,31493,0.657817232375979,,,,,,,
AUS,12-04-19,AUS,73582,38782,0.527058247941073,,,,,,,
AUS,12-05-19,AUS,59356,30797,0.518852348541007,,,,,,,
AUS,12-06-19,AUS,43458,21141,0.486469694877813,,,,,,,
AUS,12-07-19,AUS,43606,32201,0.738453423840756,,,,,,,
AUS,12-08-19,AUS,46989,32999,0.702270744216732,,,,,,,
AUS,12-09-19,AUS,28726,25938,0.902945,,,,,,,
AUS,12-10-19,AUS,39266,28800,0.733459,,,,,,,
AUS,12-11-19,AUS,28577,24929,0.872345,,,,,,,
PHL,12-03-19,PHL,43904,20951,0.477200255102041,,,,,,,
PHL,12-04-19,PHL,56481,30712,0.543758077937714,,,,,,,
PHL,12-05-19,PHL,45592,24827,0.54454728899807,,,,,,,
PHL,12-06-19,PHL,31827,20183,0.634147107801552,,,,,,,
PHL,12-07-19,PHL,42246,32371,0.7662500591772,,,,,,,
PHL,12-08-19,PHL,44110,34837,0.789775561097257,,,,,,,
PHL,12-09-19,PHL,32323,21278,0.658293,,,,,,,
PHL,12-10-19,PHL,30899,29191,0.944723,,,,,,,
PHL,12-11-19,PHL,26825,21265,0.792731,,,,,,,
VNM,12-03-19,VNM,28441,8985,0.315917161843817,,,,,,,
VNM,12-04-19,VNM,34745,11369,0.327212548568139,,,,,,,
VNM,12-05-19,VNM,24710,7732,0.312909753136382,,,,,,,
VNM,12-06-19,VNM,13442,5363,0.398973367058473,,,,,,,
VNM,12-07-19,VNM,14631,11822,0.80801038890028,,,,,,,
VNM,12-08-19,VNM,14842,12022,0.809998652472713,,,,,,,
VNM,12-09-19,VNM,6118,4876,0.796992,,,,,,,
VNM,12-10-19,VNM,8969,7281,0.811796,,,,,,,
VNM,12-11-19,VNM,5634,4512,0.800852,,,,,,,
GBR,12-03-19,GBR,2680,1657,0.618283582089552,,,,,,,
GBR,12-04-19,GBR,5310,3162,0.595480225988701,,,,,,,
GBR,12-05-19,GBR,5008,2998,0.598642172523962,,,,,,,
GBR,12-06-19,GBR,4373,2799,0.640064029270524,,,,,,,
GBR,12-07-19,GBR,3688,2689,0.72912147505423,,,,,,,
GBR,12-08-19,GBR,3920,2857,0.728826530612245,,,,,,,
GBR,12-09-19,GBR,3675,2801,0.762177,,,,,,,
GBR,12-10-19,GBR,3087,2576,0.834467,,,,,,,
GBR,12-11-19,GBR,1894,1615,0.852693,,,,,,,
MYS,12-03-19,MYS,3518,1546,0.439454235361001,,,,,,,
MYS,12-04-19,MYS,4675,1925,0.411764705882353,,,,,,,
MYS,12-05-19,MYS,2701,1125,0.416512402813773,,,,,,,
MYS,12-06-19,MYS,1134,620,0.54673721340388,,,,,,,
MYS,12-07-19,MYS,2096,1803,0.860209923664122,,,,,,,
MYS,12-08-19,MYS,1840,1531,0.832065217391304,,,,,,,
MYS,12-09-19,MYS,832,663,0.796875,,,,,,,
MYS,12-10-19,MYS,1433,1182,0.824843,,,,,,,
MYS,12-11-19,MYS,732,589,0.804645,,,,,,,
DEU,12-03-19,DEU,1023,788,0.770283479960899,,,,,,,
DEU,12-04-19,DEU,1782,1371,0.769360269360269,,,,,,,
DEU,12-05-19,DEU,1748,1319,0.754576659038902,,,,,,,
DEU,12-06-19,DEU,1600,1224,0.765,,,,,,,
DEU,12-07-19,DEU,1698,1343,0.79093050647821,,,,,,,
DEU,12-08-19,DEU,1788,1444,0.807606263982103,,,,,,,
DEU,12-09-19,DEU,1646,1422,0.863913,,,,,,,
DEU,12-10-19,DEU,1134,1042,0.918871,,,,,,,
DEU,12-11-19,DEU,628,571,0.909236,,,,,,,
